"filename", "language", "XML", "Lua", "Batch", "comment", "blank", "total"
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\receiver_autogun_headhunter.lua", "Lua", 0, 33, 0, 8, 5, 46
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\receiver_autogun_infantry.lua", "Lua", 0, 18, 0, 8, 5, 31
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\shaft_2h_power_maul.lua", "Lua", 0, 48, 0, 8, 5, 61
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\shaft_upper_forcestaff.lua", "Lua", 0, 43, 0, 8, 5, 56
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\shield_ogryn_human.lua", "Lua", 0, 48, 0, 8, 5, 61
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\sight.lua", "Lua", 0, 23, 0, 8, 5, 36
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\sight_autogun.lua", "Lua", 0, 12, 0, 11, 7, 30
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\sight_autogun_braced.lua", "Lua", 0, 13, 0, 8, 5, 26
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\sight_autogun_headhunter.lua", "Lua", 0, 13, 0, 8, 5, 26
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\sight_autogun_infantry.lua", "Lua", 0, 13, 0, 8, 5, 26
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\sight_reflex.lua", "Lua", 0, 26, 0, 8, 5, 39
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\sight_reflex_show.lua", "Lua", 0, 23, 0, 8, 5, 36
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\sight_scope.lua", "Lua", 0, 15, 0, 8, 5, 28
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\sight_scope_show.lua", "Lua", 0, 13, 0, 8, 5, 26
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\stock_autogun.lua", "Lua", 0, 12, 0, 11, 7, 30
